                   0 a=    x, b=    x, c=x, sum=    z, carry=z
                 3630                3630 a=11961, b= 8736, c=0, sum=15854, carry=0
                 3640                3640 a= 9030, b= 4332, c=0, sum=20697, carry=0
                 3650                3650 a=19143, b= 9432, c=0, sum=13362, carry=0
                 3660                3660 a=22051, b=18606, c=0, sum=28575, carry=0
                 3670                3670 a=20012, b=25568, c=0, sum=40657, carry=0
                 3680                3680 a=19024, b=28912, c=0, sum=45580, carry=0
                 3690                3690 a=25363, b= 4760, c=0, sum=47936, carry=0
                 3700                3700 a=21025, b=10435, c=0, sum=30123, carry=0
                 3710                3710 a=15992, b=21615, c=0, sum=31460, carry=0
                 3720                3720 a=12823, b=11210, c=0, sum=37607, carry=0
                 3730                3730 a= 2957, b= 7968, c=0, sum=24033, carry=0
                 3740                3740 a=28427, b=27809, c=0, sum=10925, carry=0
                 3750                3750 a=14306, b=26924, c=0, sum=56236, carry=0
                 3760                3760 a=16733, b= 5573, c=0, sum=33038, carry=0
                 3770                3770 a=17680, b= 1940, c=0, sum=22306, carry=0
                 3780                3780 a= 8004, b=14992, c=0, sum=19620, carry=0
                 3790                3790 a= 4563, b=11123, c=0, sum=22996, carry=0
                 3800                3800 a=23421, b=24668, c=0, sum=15686, carry=0
                 3810                3810 a=21496, b=17751, c=0, sum=48089, carry=0
                 3820                3820 a=11007, b= 2563, c=0, sum=39247, carry=0
                 3830                3830 a=27739, b=27016, c=0, sum=13506, carry=0
                 3840                3840 a=25554, b= 3545, c=0, sum=54755, carry=0
                 3850                3850 a=24999, b= 8562, c=0, sum=29099, carry=0
                 3860                3860 a=27166, b= 9399, c=0, sum=33561, carry=0
                 3870                3870 a= 4980, b= 1195, c=0, sum=36565, carry=0
                 3880                3880 a=23128, b=14693, c=0, sum= 4127, carry=0
                 3890                3890 a=18789, b= 5018, c=0, sum=37821, carry=0
                 3900                3900 a=13128, b=17778, c=0, sum=23807, carry=0
                 3910                3910 a=26232, b= 4096, c=0, sum=30906, carry=0
                 3920                3920 a=26979, b=24548, c=0, sum=30328, carry=0
                 3930                3930 a=21157, b= 6202, c=0, sum=51527, carry=0
                 3940                3940 a=19926, b=21108, c=0, sum=27359, carry=0
                 3950                3950 a= 6443, b=23800, c=0, sum=38986, carry=0
                 3960                3960 a=28296, b= 9767, c=0, sum=30243, carry=0
                 3970                3970 a= 1432, b=10853, c=0, sum=38063, carry=0
                 3980                3980 a=10337, b=10611, c=0, sum=12285, carry=0
                 3990                3990 a=12235, b=13653, c=0, sum=20948, carry=0
                 4000                4000 a=21872, b=10059, c=0, sum=25888, carry=0
                 4010                4010 a=23599, b=12000, c=0, sum=31931, carry=0
                 4020                4020 a=26808, b=14269, c=0, sum=35599, carry=0
                 4030                4030 a=28838, b= 5089, c=0, sum=32885, carry=0
